"filename", "language", "TypeScript", "TypeScript React", "comment", "blank", "total"
"/Users/bsluther/development/bsluther/packages/ahp-1/src/components/nextButton.tsx", "TypeScript React", 0, 12, 0, 2, 14
"/Users/bsluther/development/bsluther/packages/ahp-1/src/matrix.ts", "TypeScript", 35, 0, 0, 4, 39
"/Users/bsluther/development/bsluther/packages/ahp-1/src/steps/compareAlternatives.tsx", "TypeScript React", 0, 27, -1, 3, 29
"/Users/bsluther/development/bsluther/packages/ahp-1/src/steps/compareCriteria.tsx", "TypeScript React", 0, 30, -1, 0, 29
"/Users/bsluther/development/bsluther/packages/ahp-1/src/steps/results.tsx", "TypeScript React", 0, 16, 0, 5, 21
"/Users/bsluther/development/bsluther/packages/ahp-1/src/store.tsx", "TypeScript React", 0, 5, 0, 3, 8
"Total", "-", 35, 90, -2, 17, 140
